fac_no_faction|Без фракции
fac_commoners|Простолюдины
fac_outlaws|Изгнанники
fac_neutral|Нейтралы
fac_innocents|Мирные
fac_merchants|Торговцы
; fac_culture_norse|Norse
; fac_culture_saxon|Saxon
; fac_culture_angle|Angle
; fac_culture_welsh|Brittonic
; fac_culture_irish|Goidelic
; fac_culture_scotch|Pictish
fac_player_faction|Фракция Игрока
fac_player_supporters_faction|Сторонники Игрока
; fac_kingdom_1|Kingdom of Danmark
; fac_kingdom_2|Kingdom of Northvegr
; fac_kingdom_3|Kingdom of Laithlind
; fac_kingdom_4|Kingdom of Friese
; fac_kingdom_5|Kingdom of West Seaxe
; fac_kingdom_6|Kingdom of East Engle
; fac_kingdom_7|Kingdom of Mierce
; fac_kingdom_8|Kingdom of Northhymbre
; fac_kingdom_9|Kingdom of Gwynedd
; fac_kingdom_10|Kingdom of Brycheiniog
; fac_kingdom_11|Kingdom of Alt Clut
; fac_kingdom_12|Kingdom of Cornubia
; fac_kingdom_13|Kingdom of Glywyssing
; fac_kingdom_14|Kingdom of Uladh
; fac_kingdom_15|Kingdom of Laigin
; fac_kingdom_16|Kingdom of Mumain
; fac_kingdom_17|Kingdom of Connachta
; fac_kingdom_18|Ui Neill of Aileach
; fac_kingdom_19|Kingdom of Mide
; fac_kingdom_20|Kingdom of Alban
; fac_kingdom_21|Tribe of Osraige
; fac_christians|Christians
; fac_pagans|Pagans
fac_manhunters|Охотники за головами
fac_deserters|Дезертиры
; fac_mountain_bandits|Sea Warriors
fac_forest_bandits|Лесные бандиты
fac_apoyoplayer|Нейтралы
; fac_adventurers|Adventurers
